entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
BIRTHDAY,0.4,0.2857142857142857,0.3333333333333333,0.2,4,6,10,14,10
EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
INN,0.53125,0.6296296296296297,0.5762711864406779,0.40476190476190477,17,15,10,27,32
LOCATION,0.0,0.0,0.0,0.0,0,0,14,14,0
MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
SHORT_NAME,0.0,0.0,0.0,0.0,0,3,0,0,3
CARD,0.0,0.0,0.0,0.0,0,31,0,0,31
BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
PASSPORT,0.5833333333333334,0.20588235294117646,0.3043478260869565,0.1794871794871795,7,5,27,34,12
RUSSIAN_NAME,0.0,0.0,0.0,0.0,0,105,0,0,105
PERSON,0.0,0.0,0.0,0.0,0,0,183,183,0
EMAIL,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.8157894736842105,62,7,7,69,69
PHONE,0.7479674796747967,0.7479674796747967,0.7479674796747967,0.5974025974025974,92,31,31,123,123
DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
ORGANIZATION,0.0,0.0,0.0,0.0,0,0,35,35,0
POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
IP_ADDRESS,0.75,0.75,0.75,0.6,3,1,1,4,4
CAR_NUMBER,0.8125,0.52,0.6341463414634146,0.4642857142857143,13,3,12,25,16
SNILS,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.46938775510204084,23,13,13,36,36
AGE,0.5652173913043478,0.41935483870967744,0.4814814814814815,0.3170731707317073,13,10,18,31,23
VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
ADDRESS,0.0,0.0,0.0,0.0,0,0,67,67,0
ALL,0.5043103448275862,0.30038510911424904,0.3765084473049075,0.2319127849355798,234,230,545,779,464
